title,link,address,company,short_description,rich_description,salary,skils
Менеджер по продажам it-услуг (b2b),https://hh.ru/vacancy/130880846?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,билайн: Бэк-офис,Опыт в продажах (желательно от 1 года) в любой сфере — мы ценим навык вести переговоры и умение находить общий язык...,,,
Специалист по расчетам и вендор-контролю (IT),https://hh.ru/vacancy/131935989?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЯРАЛЯН ГАРЕГИН ВАРДАНОВИЧ,Опыт от 1 года в финансовом контроле или администрировании,,"63 000 – 72 000 ₽ за месяц, до вычета налогов",
Аккаунт-менеджер в IT компанию (B2B),https://hh.ru/vacancy/131949339?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Компания Апогей (Техподдержка 1С),"Опыт: Опыт в продажах и переговорах будет преимуществом, но не является обязательным. Знания в",,,
"Менеджер по продажам и тендерам (Компьютерная техника, IT-оборудование)",https://hh.ru/vacancy/130972156?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Страел,Имеет опыт в активных продажах. Понимает или готов быстро разобраться в тендерах. Умеет работать с поставщиками и влиять на себестоимость.,,"80 000 – 150 000 ₽ за месяц, на руки",
Бизнес аналитик/менеджер проекта (IT-проект / Разработка системы аналитики),https://hh.ru/vacancy/131956421?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,"ООО HotelAdvisors, Hospitality Management & Consulting",Имеет опыт работы бизнес аналитиком и управления проектами в сфере разработки ПО от 3-х лет. - Понимает цикл разработки и...,,"140 000 – 150 000 ₽ за месяц, на руки",
"Стажер (продажи, аналитика, IT)",https://hh.ru/vacancy/131115961?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Медико-фармацевтический дистрибьютор,"Высшее образование по специальностям: фармацевтика, статистика, математика, экономика,",,,
Руководитель IT проектов (1С),https://hh.ru/vacancy/128790926?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,СофтБаланс,...реализованных,,,
Начальник группы подбора IT персонала,https://hh.ru/vacancy/131927458?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Специальный Технологический Центр (ООО СТЦ),Понимание рынка,,,
Руководитель направления (IT),https://hh.ru/vacancy/131031084?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Первый Бит,...от 3-х лет. Работал с B2B-клиентами в сфере,,,
Менеджер по продажам в IT-компанию,https://hh.ru/vacancy/129772869?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО АйТи-Солюшн,...продажах и влиять на свой доход. Способность к обучению и освоению нового. Клиентоориентированность. Системное мышление. Опыт продаж в,,,
Ведущий системный администратор/Руководитель IT-отдела,https://hh.ru/vacancy/130412260?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Медико-фармацевтический дистрибьютор,Высшее образование по профилю. Опыт работы системным администратором от 3-х лет. Опыт руководства группой сотрудников в т.ч.,,,
