title,link,address,company,short_description,rich_description,salary,skils
Разработчик C++ QT QML (микроконтроллеры),https://hh.ru/vacancy/131701908?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Агалатовское сельское поселение,ООО СИСТЕМА,Доказанный опыт самостоятельного написания кода; портфолио обязательно. - Хорошая математическая и алгоритмическая подготовка. - Желателен опыт работы с технологическим оборудованием. -,,"150 000 – 250 000 ₽ за месяц, до вычета налогов",
Java Developer,https://hh.ru/vacancy/131983029?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Aston,Современный технологический стек. Опыт работы в роли Java,,,
Программист 1С,https://hh.ru/vacancy/131202564?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Юнит-Групп,Опыт разработки на платформе 1С 8.3. Знание языка запросов 1С. Опыт разработки отчетов и обработок.,,"от 180 000 ₽ за месяц, до вычета налогов",
Backend-разработчик в команду дилинга,https://hh.ru/vacancy/131869284?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,XFine,У вас есть опыт backend-разработки. У вас есть уверенное знание Python / C++ или другого языка программирования. Вам интересны финансовые...,,,
Программист-разработчик 1С: ERP,https://hh.ru/vacancy/131817572?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Колпино, р-н Колпинский",ООО Kraftspan,"Понимание производственных процессов: сквозного учета, расчета себестоимости, этапов производства и т.д. Глубокие знания методологии и принципов работы систем ERP.",,"от 200 000 ₽ за месяц, до вычета налогов",
Программист 1С,https://hh.ru/vacancy/131816605?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Континент,Оконченное высшее профильное образование. Опыт программирования на платформах 1С 8.3. Умение разобраться в чужом коде 1С.,,"от 150 000 ₽ за месяц, на руки",
Разработчик Dynamics 365 CRM,https://hh.ru/vacancy/131235767?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Тазмар,"Опыт работы от 3-х лет. Уверенные знания стека разработки Dynamics: #C, .NET Framework; Dynamics Web API. Опыт разработки Microsoft...",,,
Go developer (Middle),https://hh.ru/vacancy/131099437?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,GS Labs,GitLab. Опыт коммерческой разработки на Go от 3 лет. Опыт разработки на С++. Опыт работы с микросервисной архитектурой и проектированием...,,,
Fullstack-разработчик (PHP/Laravel + Vue.js),https://hh.ru/vacancy/119425963?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Кудрово,СКСР Холдинг,Опыт коммерческой разработки на PHP 7.4+ и Laravel 8+ от 3 лет. Опыт коммерческой разработки на Vue.js...,,,
Разработчик баз данных / DataOps (BI-направление),https://hh.ru/vacancy/131995198?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Мой медицинский центр,"Высшее техническое образование. Опыт работы и эксплуатации GreenPlum, MSSQL и PostgreSQL баз данных. Понимание построения pipline’ов с использованием PXF...",,,
