title,link,address,company,short_description,rich_description,salary
Сервисный инженер (обслуживание IT-оборудования),https://hh.ru/vacancy/131608352?query=it&hhtmFrom=vacancy_search_list,Самара,ООО Обермейстер,"Практический опыт: Вы знаете, как держать в руках инструмент и не боитесь разобрать системный блок или терминал. Мобильность: Готовность к...",,
Руководитель IT-проектов / Technical Project Manager,https://hh.ru/vacancy/131985925?query=it&hhtmFrom=vacancy_search_list,"Новосибирск, р-н Советский",Рекрутинговое агентство The One,"Опыт управления проектами по разработке ПО полного цикла — от 3 лет. Опыт контроля выполнения формальных обязательств, управления рисками и ожиданиями.",,
Системный администратор / Инженер IT-инфраструктуры,https://hh.ru/vacancy/131976810?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Innovative Network Technologies (Ай Эн Ти),"Active Directory (DC, GPO, DNS, FSMO, репликация). Поддержка Exchange (желательно 2016/2019). RDP / Terminal Services / VDI (VMware Horizon).",,
Руководитель проектов в IT-компании,https://hh.ru/vacancy/131240636?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ПРОТЕЙ ТЛ,Высшее техническое образование (предпочтительно в области связи или,,
Специалист по работе с клиентами (IT),https://hh.ru/vacancy/131642155?query=it&hhtmFrom=vacancy_search_list,Екатеринбург,ООО Такском,Свободно владеете ПК и быстро осваиваете новые программы. Обладаете грамотной речью и умеете понятно объяснять сложное. Готовы разбираться в бизнес...,,
Специалист по технической поддержке клиентов (IT-сфера),https://hh.ru/vacancy/130704514?query=it&hhtmFrom=vacancy_search_list,"Кызыл, улица Ленина, 64",ООО Консультант-Тува,Образование: высшее или среднее специальное техническое (специализация –,,
Менеджер по продажам (IT решения),https://hh.ru/vacancy/131689787?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Бутырский",ООО Концепт Разработка,Опыт продаж существующим клиентам. Желателен: работа с Enterprise-клиентами. Опыт в B2B,,
IT-специалист,https://hh.ru/vacancy/131961473?query=it&hhtmFrom=vacancy_search_list,Москва,Филиал ФКУ Налог-Сервис ФНС России в г. Москве,"Желание развиваться в области ИТ. Обучаемость, внимательность, стрессоустойчивость. Аналогичный опыт работы от 1 года. Опыт обслуживания оргтехники. Знание стека протоколов...",,
IT архитектор,https://hh.ru/vacancy/131959436?query=it&hhtmFrom=vacancy_search_list,Москва,Группа Компаний «Аскона» | IT,"Опыт в предметной области от 3-х лет. Знание фреймворков TOGAF, Zachman, ArchiMate. Владение BPMN 2.0 (с событиями, шлюзами...",,
Менеджер по внедрению IT продукта,https://hh.ru/vacancy/131853934?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Разрешение,Хорошие коммуникативные навыки и уверенное проведение презентаций. Опыт работы с,,
