title,hh_link,address,company,short_description,experience,salary
QA инженер,https://hh.ru/vacancy/132000978?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Ростов-на-Дону, р-н Ленинский",GrowApp Solutions,Понимание как устроена мобильная и веб разработка. Знание ПК на уровне очень опытного пользователя. Уверенное знание iOS и Android платформ...,Без опыта,
Инженер-тестировщик в ML (middle/middle+),https://hh.ru/vacancy/131989692?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Новосибирск,Koronatech,опыт работы,Опыт 1-3 года,
Senior QA engineer,https://hh.ru/vacancy/131992434?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Ташкент, улица Истикбол, 21",АО ANOR BANK,Опыт работы в тестировании от 3 года. Хорошее понимание теории тестирования и процесса разработки ПО. Хорошее понимание клиент-серверной архитектуры.,Опыт более 6 лет,
Game QA Engineer,https://hh.ru/vacancy/131991815?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Минск,Леста Игры,Опыт работы на позиции,Опыт 3-6 лет,
Тестировщик,https://hh.ru/vacancy/129746528?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Транснефтьэнерго,"Какие знания нужны: Знание техник тест-дизайна, опыт тестирования backend, web frontend. Опыт работы с Jira, умение грамотно создавать баг...",Опыт 3-6 лет,
Младший тестировщик ПО / Junior QA engineer,https://hh.ru/vacancy/131988637?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ИнтернетУрок,"Законченные курсы по тестированию. Умение анализировать бизнес и функциональные требования, технические задания. Знание техник тест-дизайна и опыт применения теории...",Без опыта,"60 000 – 80 000 ₽ за месяц, на руки"
Тестировщик/QA,https://hh.ru/vacancy/131946270?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Ташкент,ООО Эком Системы,"Опыт ручного тестирования от 3 лет. Знание основной функциональности платформы cs-cart, в идеале - различий и особенностей редакций платформы (будет...",Опыт 1-3 года,
Тестировщик/QA,https://hh.ru/vacancy/131946271?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Минск,ООО Эком Системы,"Опыт ручного тестирования от 3 лет. Знание основной функциональности платформы cs-cart, в идеале - различий и особенностей редакций платформы (будет...",Опыт 1-3 года,
QA-инженер,https://hh.ru/vacancy/131883333?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Элеста,Высшее образование в области ИТ или инженерии. Опыт работы с тестированием API (REST) на Java. Знания методов обеспечения качества и...,Опыт 1-3 года,
Middle QA Engineer (Fullstack),https://hh.ru/vacancy/131396089?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Рекрутер,"Опыт работы с Postman (создание коллекций и умение их запускать, анализировать результат). Желателен опыт автоматизации в Postman (автоматизация проверки результата...",Опыт 1-3 года,"170 000 – 190 000 ₽ за месяц, на руки"
