title,hh_link,address,company,short_description,experience,salary
Руководитель IT проектов Game ( заказная разработка),https://hh.ru/vacancy/131542387?query=it&hhtmFrom=vacancy_search_list,Москва,Digital Lab,"Аналитический склад ума. - Ориентированность на результат. - Умение работать в Jira, Confluence, Figma. - Хорошая коммуникация. - Креативная составляющая приветствуется. Сопроводительное письмо и...",Опыт 3-6 лет,
Ведущий менеджер по продажам (IT сервисы),https://hh.ru/vacancy/131205611?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Таганский",Infobip,Опыт от 5-ти лет в активных продажах. Опыт в продажах,Опыт 3-6 лет,
"Менеджер по продажам (IT, e-commerce, SaaS)",https://hh.ru/vacancy/131095361?query=it&hhtmFrom=vacancy_search_list,Москва,Any,Ты в B2B продажах сложных,Опыт 1-3 года,"110 000 – 140 000 ₽ за месяц, на руки"
Аналитик IT отдела (Power BI),https://hh.ru/vacancy/131978646?query=it&hhtmFrom=vacancy_search_list,Москва,R4S,"Уверенное владение SQL для извлечения и трансформации данных. Мастерство в работе с BI-инструментами (Power BI, Bitrix). Знание Excel.",Опыт 3-6 лет,
Менеджер отдела продаж (IT-услуги / B2B),https://hh.ru/vacancy/131552775?query=it&hhtmFrom=vacancy_search_list,Москва,5-55,Имели опыт в продажах B2B от 5 лет (опыт в,Опыт 1-3 года,"150 000 – 300 000 ₽ за месяц, до вычета налогов"
Менеджер по привлечению клиентов (B2B IT),https://hh.ru/vacancy/131944884?query=it&hhtmFrom=vacancy_search_list,Москва,QSOFT,Ответственность в ведении CRM и фиксации результатов работы. Интерес к,Без опыта,
"Контент-маркетолог (b2b, IT)",https://hh.ru/vacancy/131203550?query=it&hhtmFrom=vacancy_search_list,Москва,ООО InfoVizion,"Вы понимаете специфику работы с b2b-аудиторией, наши ЛПР – С-level.",Опыт 1-3 года,
Менеджер по продажам (IT решения),https://hh.ru/vacancy/131689787?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Бутырский",ООО Концепт Разработка,Опыт продаж существующим клиентам. Желателен: работа с Enterprise-клиентами. Опыт в B2B,Опыт более 6 лет,
Менеджер по внедрению IT продукта,https://hh.ru/vacancy/131853934?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Разрешение,Хорошие коммуникативные навыки и уверенное проведение презентаций. Опыт работы с,Опыт 1-3 года,"120 000 – 150 000 ₽ за месяц, на руки"
Менеджер по продажам (IT Оборудование),https://hh.ru/vacancy/118689083?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ВБК,"Сильная мотивация, аналитические способности, умение учиться и нацеленность на результат. Готовность осваивать продукты и sales-процессы с нуля.",Опыт 1-3 года,
Менеджер по продажам (IT/B2B),https://hh.ru/vacancy/131388511?query=it&hhtmFrom=vacancy_search_list,Москва,ККС,"Самостоятельность, ответственность и ориентация на результат. Будет плюсом: Опыт работы с",Опыт 1-3 года,
Ведущий системный администратор / Ведущий специалист отдела IT,https://hh.ru/vacancy/131419799?query=it&hhtmFrom=vacancy_search_list,Москва,ВОДОВОЗ.RU,"Опыт развертывания, настройки и поиска сбоев в Asterisk (ОБЯЗАТЕЛЬНО). Высшее образование (техническое). Отличное знание ""компьютерного железа"", знание операционных систем.",Опыт 3-6 лет,"150 000 – 200 000 ₽ за месяц, на руки"
Руководитель IT проектов,https://hh.ru/vacancy/131967697?query=it&hhtmFrom=vacancy_search_list,Москва,Сайтсофт,Знание основ проектного управления и его практическое применение в области,Опыт 3-6 лет,"от 220 000 ₽ за месяц, на руки"
Руководитель проектов IT,https://hh.ru/vacancy/127911841?query=it&hhtmFrom=vacancy_search_list,Москва,Первый Бит,"Опыт участия в ИТ-проектах в роли аккаунта, csm, руководителя, администратора, координатора проектов. Навык проведения сложных переговоров (первые лица компаний...",Опыт 1-3 года,
Business Development Manager / Менеджер по развитию бизнеса IT,https://hh.ru/vacancy/131998618?query=it&hhtmFrom=vacancy_search_list,Москва,ООО НитСофт,опыт работы со сложными продажами. — готовность разбираться в,Опыт 1-3 года,
